JD640_Set.Servo_Set.Din_Pos0;%DB24.DBD0
TM2_Set.UST_TABLA_SV;%DB11.DBW194
TM2_Set.TM2_HIGH_LIMIT;%DB11.DBW196
TM2_Set.Giris_Dok_Cozme;%DB11.DBW198
TM2_Set.Cikis_Menzel;%DB11.DBW200
Giden_Veri.Kum_Cek_Cal_Bilgisi;%DB36.DBX0.1
Giden_Veri.Man_Kum_Cek_Bilgisi;%DB36.DBX0.2
Giden_Veri.Man_Geri_Kum_Cek;%DB36.DBX0.3
Giden_Veri.Siren;%DB36.DBX0.5
Giden_Veri.Work_Mode;%DB36.DBW2
Giden_Veri.Step_Auto;%DB36.DBW4
Giden_Veri.Step_Manuel;%DB36.DBW6
GIRIS_CIKIS_START;%M103.3
GIRIS_CIKIS_STOP;%M103.4
RESET_ERROR;%M10.5
FREN;%M101.7
JD640_START;%M101.2
SAYKIL_BITIR;%M103.6
PC_Enable;%M5.0
TM2_UST_RUN;%M250.1
TM2_ALT_RUN;%M250.0
TM2_RUN;%M250.5
TM2_MANUEL;%M250.4
KAYDET;%M103.1
UST_ONE_SET;%M251.1
ALT_ONE_SET;%M251.0
TM2_RUN_SET;%M251.2
Q_ACIL_STOP_EM.ROL_BOBIN;%Q2.3
STATUS.AUTO_MODE_STATE;%DB27.DBW4
STATUS.MANUEL_MODE_STATE;%DB27.DBW6
STATUS.HOME_MODE_STATE;%DB27.DBW8
STATUS.Baski_Suresi_Kalan;%DB27.DBD10
Baski_Reset;%M103.5
JD640_Index_OK;%M200.0
JD640_Enable_OK;%M200.1
JD640_POS_OK;%M200.2
TM2_ALT_CURRENT_OK;%M200.3
TM2_ALT_CONTACTOR_OPEN_OK;%M200.4
TM2_ALT_CONTACTOR_CLOSE_OK;%M200.5
TM2_UST_CURRENT_OK;%M200.6
TM2_UST_CONTACTOR_OPEN_OK;%M200.7
TM2_UST_CONTACTOR_CLOSE_OK;%M201.0
JD640_NOT_ERROR_OK;%M201.1
JD640_Ready_OK;%M201.2
JD640_DIN_SPEED_OK;%M201.3
JD640_DIN_POS_OK;%M201.6
JD640_CURRENT_OK;%M201.7
JD640_POSREACHED_OK;%M202.0
JD640_KINCO_SAFETY_OK;%M202.1
JD640_JOG_SAFETY_OK;%M202.2
JD640_Index_OK_STOP;%M202.3
JD640_CMD_q_MAX_OK;%M202.4
JD640_SET_OK;%M202.5
JD640_HOME_OK;%M202.6
JD640_ACC_DEC_OK;%M202.7
Giris_SAFETY_OK;%M203.0
Cikis_SAFETY_OK;%M203.1
JD640.Work_Mode;%DB23.DBW984
Home_Yap;%M50.0
Home_Enable;%M50.1
Home_OK;%M50.2
POS1_Home_Status;%M50.3
POS2_Home_Status;%M50.4
POS3_Home_Status;%M50.5
POS4_Home_Status;%M50.6
Home_Offset1_Status;%M50.7
Home_Offset2_Status;%M51.0
Calc_OK;%M51.1
First_Home_OK;%M51.2
Home_PosReached;%M51.3
POSREACHED_EDGE;%M51.4
Kaydet_Cikis;%M103.7
Kaydet_Giris;%M104.0
STATUS.Pres_Din_Pos;%DB27.DBW14
Giden_Veri.Man_Kum_Cek_Calisma_mm;%DB36.DBD16
Retain_Data.Baski_Sayisi;%DB47.DBW0
Retain_Data.Man_Kum_Cek_Calisma_mm;%DB47.DBD2
RECETE.Recete_Adi;P#DB48.DBX0.0
RECETE.Baski_Suresi;%DB48.DBD142
RECETE.Baski_Gucu;%DB48.DBD150
RECETE.Kalip_Yukseklik;%DB48.DBD154
TOLERANS.Baski_Suresi;%DB49.DBW4
TOLERANS.Baski_Offset;%DB49.DBD6
TOLERANS.Baski_Gucu;%DB49.DBD10
TOLERANS.Kalip_Yukseklik;%DB49.DBD14
TOLERANS.Alt_Tabla;%DB49.DBW0
TOLERANS.Ust_Tabla;%DB49.DBW2
Giden_Veri.Manuel_Ileri_Jog;%DB36.DBX1.1
JD640.Lineer_Cetvel1;%DB23.DBD986
JD640.Lineer_Cetvel2;%DB23.DBD990
Kumas_Kaldir;%M104.1
